Ctrl_med_T0-1	Ctrl_med_T0-2	Ctrl_med_T2h-1	Ctrl_med_T2h-2	L-Cyc_med_T0-1	L-Cyc_med_T0-2	L-Cyc_med_T2h-1	L-Cyc_med_T2h-2
							
							
21082398.016666666	20528546.116666667	19650482.416666664	19152242.516666666	35768152.41666667	21132662.81666667	21540901.71666667	22233782.916666664
23812934.64333333	24242428.64333333	22336054.64333333	22906432.64333333	23957348.64333333	23850557.64333333	26889340.64333333	25837975.64333333
1792538.566666667	1790949.566666667	1218328.566666667	1457111.566666667	2069691.566666667	1915534.566666667	1684708.566666667	1734938.566666667
2111708660.1333332	2203285239.133333	2037012929.1333332	2023660803.1333332	2311992779.133333	2210982973.133333	2389754947.133333	2339735205.133333
1548485.77	1701510.73	1309197.7400000002	1820745.47	1935085.62	1763954.77	1931224.9000000004	2282473.1300000004
76704557.1	76562817.1	74284491.1	72162535.1	76269336.1	76291863.1	74652772.1	74944609.1
3617749.87	3435790.2	2756887.13	2910381.68	3513705.7	3293797.9	3311566.8	3892175.2
							
							
							
66137818.63333333	67607708.63333334	63420421.63333333	61687625.63333333	64943662.63333333	66958084.63333333	67970373.63333334	69607422.63333334
9322737799.093334	9302697744.093334	9196079213.093334	8719390692.093334	8901197393.093334	8704911808.093334	9400722189.093334	9863466762.093334
117443154.71333334	121027940.71333334	115723826.71333334	115850611.09333332	119744345.59333332	119004184.71333334	118584270.71333334	117133694.71333334
							
111550662.21666668	114041484.58666667	102236906.58666667	107705253.05666669	118873593.96666668	116214414.89666668	118851523.58666667	123449681.58666667
636990553.8666667	649933157.8666667	607515203.8666667	606053781.8666667	685784788.8666667	665904616.8666667	714741480.8666667	705881485.8666667
6433495.033333333	6609824.833333334	5540393.533333333	4245151.533333333	7152407.533333333	6966378.033333333	9268074.033333331	9909521.833333334
85713015.15666667	86442185.15666667	80830195.15666667	77735867.15666667	87723164.15666667	84905739.15666667	90456917.15666668	93913089.15666668
285717399.29	278341478.49	261018102.39	262753775.69	287841134.94	283733608.09	296904540.79	288355169.29
23656601.73333333	24177093.73333333	23401859.73333333	19146747.73333333	22572464.73333333	20887438.73333333	20532655.73333333	21681238.73333333
526242843.9066666	541860987.9066666	489041215.9066666	498219681.9066666	554116402.9066666	532238404.9066666	568375310.9066666	574309133.9066666
577225423.9966667	578990937.1966666	545903388.7966666	557138987.7966666	606569154.8966666	603361959.6966666	611454433.5966667	621103613.1966666
1917193228.8333333	1800847679.233333	1898133517.233333	1831205498.1333332	1954504808.4333332	1917436849.8333333	1873057071.1333332	2047218329.5333333
